Country,Indicator,Education level,Statistical unit,Gender,Age,Mobility,Year,Value
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2018,76.82
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2019,76.809
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2020,72.761
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2005,53.633
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2010,61.985
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2011,64.272
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2012,68.429
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2013,70.451
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2014,72.452
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2015,71.798
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2016,71.917
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2017,71.586
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2018,70.684
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2019,70.027
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2020,71.026
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2005,37.886
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2010,43.498
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2011,45.587
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2012,48.902
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2013,50.717
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2014,51.93
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2015,52.311
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2016,52.41
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2017,51.271
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2018,50.155
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2019,48.426
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2020,47.965
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2005,45.604
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2010,52.505
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2011,54.696
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2012,58.405
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2013,60.319
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2014,61.888
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2015,61.782
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2016,61.936
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2017,61.197
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2018,60.156
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2019,58.906
Australia,Entry rate,Bachelor’s or equivalent level,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Non-mobile,2020,59.163
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2010,85.982
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2011,84.6
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2012,85.71
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2013,85.334
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2014,85.176
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2015,85.274
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2016,84.108
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2017,82.961
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2018,80.525
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2019,80.682
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2020,86.306
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2010,82.683
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2011,82.723
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2012,84.211
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2013,82.289
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2014,82.026
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2015,82.881
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2016,77.456
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2017,76.234
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2018,75.389
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2019,74.74
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2020,79.413
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2010,84.21
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2011,83.621
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2012,84.955
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2013,83.765
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2014,83.544
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2015,84.035
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2016,80.558
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2017,79.412
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2018,77.873
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2019,77.636
Austria,Graduation rates,Upper secondary education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2020,82.779
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2016,24.027
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2017,25.072
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2018,24.769
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2019,25.749
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2020,28.45
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2016,15.001
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2017,15.57
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2018,15.67
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2019,16.243
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2020,18.086
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2016,19.314
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2017,20.083
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2018,20.026
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2019,20.827
Austria,Graduation rates,Upper secondary general education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2020,23.115
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2016,60.082
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2017,57.889
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2018,55.756
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2019,54.933
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Female,Less than 25 years,Total,2020,57.856
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2016,62.455
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2017,60.665
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2018,59.719
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2019,58.497
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Male,Less than 25 years,Total,2020,61.327
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2016,61.245
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2017,59.329
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2018,57.847
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2019,56.809
Austria,Graduation rates,Upper secondary vocational education,First-time graduates from the ISCED level,Total,Less than 25 years,Total,2020,59.664
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2010,31.363
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2011,32.03
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2012,32.636
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2013,32.928
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2014,32.904
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2015,33.111
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2016,32.635
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2017,33.193
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2018,33.004
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2019,32.539
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Total,2020,32.4
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2010,25.289
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2011,25.029
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2012,25.639
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2013,26.546
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2014,26.501
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2015,26.64
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2016,26.733
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2017,25.726
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2018,26.541
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2019,26.553
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Total,2020,26.405
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2010,28.211
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2011,28.415
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2012,29.03
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2013,29.64
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2014,29.604
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2015,29.78
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2016,29.536
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2017,29.256
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2018,29.628
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2019,29.437
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Total,Less than 25 years,Total,2020,29.316
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2010,31.209
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2011,31.863
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2012,32.461
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2013,32.535
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2014,32.774
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2015,32.946
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2016,32.476
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2017,33.071
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2018,32.857
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2019,32.379
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Female,Less than 25 years,Non-mobile,2020,32.264
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2010,25.178
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2011,24.908
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2012,25.534
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2013,26.328
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2014,26.391
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2015,26.555
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2016,26.634
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2017,25.619
Austria,Entry rate,Short-cycle tertiary education,New entrants to the ISCED level. New entrants to a given level of education.,Male,Less than 25 years,Non-mobile,2018,26.418
