Marital_status,App_order,Course,Attendance,Prev_education,Nationality,Mother_education,Father_education,Ed_special,Debtor,Tuition_due,Gender,Scholarship,Age_enrolled,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (grade),Target
Single,4,Oral Hygiene,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,0,7,11.4375,0,8,11.425,Enrolled
Single,4,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,8,12.857142857142858,0,8,12.857142857142858,Graduate
Single,4,Advertising and Marketing Management,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,Yes,19,no,0,6,13.375,0,6,12.285714285714286,Graduate
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,7,13.296666666666669,0,8,14.114285714285714,Graduate
Single,1,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,yes,Yes,Female,Yes,18,no,0,6,11.6,0,6,11.0,Enrolled
Single,2,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,21,no,0,6,11.375,0,6,13.285714285714286,Graduate
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,5,12.666666666666666,0,5,13.0,Enrolled
Single,1,Management,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,20,no,0,5,12.0,0,5,12.333333333333334,Graduate
Single,2,Nursing,Daytime,high school,Portuguese,Degree,Degree,no educational special needs,no,Yes,Male,No,19,no,0,7,12.933333333333332,0,7,13.716666666666669,Enrolled
Single,1,Agronomy,Daytime,other professional course,Portuguese,Master,Doctorate,no educational special needs,no,Yes,Male,No,21,no,0,6,11.857142857142858,0,6,10.571428571428571,Enrolled
Single,1,Communication Design,Daytime,high school,Portuguese,Some Schooling,Degree,no educational special needs,no,Yes,Male,No,20,no,2,6,12.833333333333334,0,6,13.4,Graduate
Single,1,Management,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,No,Male,No,18,no,0,5,11.333333333333334,0,5,13.5,Enrolled
Single,1,Social Service,Evening,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,19,no,0,6,12.666666666666666,0,6,14.375,Graduate
Single,1,Management(evening attendance),Evening,high school,Portuguese,Degree,Some Schooling,no educational special needs,no,Yes,Male,No,34,no,0,5,12.4,0,5,13.428571428571429,Graduate
Single,1,Biofuel Production Technologies,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,yes,No,Male,No,37,no,0,7,0.0,0,7,10.0,Dropout
Single,1,Informatics Engineering,Daytime,did not complete high school,Portuguese,Completed Middle School,Some Schooling,no educational special needs,no,Yes,Male,No,43,no,0,5,0.0,0,5,0.0,Dropout
Single,1,Management,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,55,no,0,5,10.0,0,5,12.0,Dropout
Divorced,1,Management(evening attendance),Evening,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,39,no,0,5,11.0,0,5,11.6,Graduate
Single,1,Equiniculture,Daytime,other professional course,Spanish,Master,Master,no educational special needs,yes,No,Female,No,20,yes,2,6,11.666666666666666,1,6,12.0,Dropout
Single,5,Journalism and Communication,Daytime,high school,Portuguese,Degree,Degree,no educational special needs,yes,Yes,Female,No,18,no,0,6,12.75,0,5,0.0,Dropout
Single,2,Management,Daytime,high school,Portuguese,Degree,Completed Middle School,no educational special needs,no,Yes,Female,No,22,no,0,5,14.8,0,5,15.8,Graduate
Single,6,Nursing,Daytime,high school,Portuguese,High School,Degree,educational special needs,no,Yes,Female,No,22,no,0,7,13.928,0,8,14.342857142857142,Graduate
Single,1,Journalism and Communication,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,No,Female,No,20,no,0,6,13.0,0,6,13.8,Dropout
Single,1,Management(evening attendance),Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,29,no,0,5,0.0,0,5,0.0,Dropout
Single,1,Management(evening attendance),Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,24,no,0,5,11.5,0,5,14.333333333333334,Enrolled
Single,2,Social Service,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,6,11.666666666666666,0,6,13.2,Graduate
Single,6,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,Yes,22,no,0,7,13.516666666666666,0,8,13.771428571428572,Graduate
Single,1,Social Service,Evening,other professional course,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,Yes,21,no,3,6,11.5,2,6,13.285714285714286,Graduate
Single,1,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,19,no,0,6,12.333333333333334,0,6,12.833333333333334,Graduate
Single,1,Tourism,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,24,no,0,6,13.666666666666666,0,6,14.166666666666666,Graduate
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,19,no,0,8,11.833333333333334,0,8,11.833333333333334,Enrolled
Single,1,Journalism and Communication,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,Yes,20,no,0,6,14.0,0,6,11.0,Enrolled
Single,3,Equiniculture,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,5,14.714285714285714,0,5,15.8,Graduate
Single,1,Management(evening attendance),Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,27,no,0,5,10.6,0,5,11.0,Dropout
Single,1,Nursing,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,7,13.044444444444444,0,8,13.595,Graduate
Married,1,Tourism,Daytime,degree,Portuguese,High School,Degree,no educational special needs,no,Yes,Female,No,39,no,0,6,0.0,0,6,0.0,Dropout
Single,1,Equiniculture,Daytime,degree,Portuguese,Degree,Degree,no educational special needs,no,Yes,Female,No,27,no,0,6,13.0,5,11,12.9,Dropout
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,8,14.935,0,8,14.935,Graduate
Single,3,Animation and Multimedia Design,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,0,0.0,0,0,0.0,Enrolled
Single,2,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,7,13.133333333333333,0,8,12.221428571428572,Graduate
Single,1,Social Service,Daytime,other professional course,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,Yes,21,no,3,6,12.0,2,6,12.0,Graduate
Single,3,Animation and Multimedia Design,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Male,Yes,19,no,0,0,0.0,0,0,0.0,Enrolled
Single,1,Communication Design,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Male,No,19,no,0,6,11.4,0,6,10.0,Enrolled
Single,1,Communication Design,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Male,No,24,no,0,6,0.0,0,6,0.0,Enrolled
Divorced,1,Nursing,Daytime,did not complete high school,Portuguese,High School,High School,no educational special needs,no,Yes,Male,No,29,no,2,7,11.9,1,8,11.0,Dropout
Single,3,Animation and Multimedia Design,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Male,Yes,19,no,0,0,0.0,0,0,0.0,Graduate
Single,1,Agronomy,Daytime,other professional course,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,23,no,0,6,12.571428571428571,0,6,12.428571428571429,Graduate
Single,3,Management,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,yes,Yes,Male,No,19,no,0,5,11.2,0,5,10.75,Dropout
Single,1,Tourism,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,26,no,0,6,12.0,0,6,10.8,Enrolled
Single,1,Management,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,18,no,0,5,0.0,0,5,0.0,Enrolled
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Male,No,24,no,0,7,11.975,0,8,13.75,Graduate
Single,1,Animation and Multimedia Design,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Male,No,19,no,0,0,0.0,0,0,0.0,Dropout
Single,4,Tourism,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,18,no,0,6,11.666666666666666,0,6,12.0,Dropout
Single,2,Journalism and Communication,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,18,no,0,6,12.333333333333334,0,6,12.333333333333334,Graduate
Single,3,Management,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,yes,Yes,Male,No,18,no,0,5,10.333333333333334,0,5,10.857142857142858,Dropout
Single,4,Tourism,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,Yes,21,no,0,6,10.5,0,6,11.0,Dropout
Single,4,Journalism and Communication,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,yes,Yes,Male,Yes,19,no,0,6,13.666666666666666,0,6,13.333333333333334,Graduate
Single,4,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,Yes,22,no,0,7,14.842857142857142,0,8,15.055555555555555,Graduate
Married,1,Social Service,Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,33,no,0,6,12.0,0,6,11.666666666666666,Graduate
Single,6,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Male,No,20,no,0,6,12.2,0,6,12.2,Dropout
Single,1,Management(evening attendance),Evening,degree,Portuguese,Degree,Degree,no educational special needs,no,Yes,Male,No,35,no,0,1,0.0,0,5,0.0,Dropout
Single,1,Agronomy,Daytime,master,Portuguese,Degree,Degree,no educational special needs,yes,Yes,Male,No,24,no,6,12,12.166666666666666,7,12,13.3,Dropout
Single,1,Tourism,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Male,No,18,no,0,5,12.0,0,5,11.333333333333334,Enrolled
Married,1,Social Service,Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,33,no,0,6,11.0,0,6,11.0,Graduate
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,22,no,0,8,13.08,0,8,13.08,Graduate
Single,1,Advertising and Marketing Management,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,Yes,25,no,0,5,10.5,0,5,11.6,Graduate
Single,1,Communication Design,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,20,no,0,6,10.666666666666666,0,6,11.2,Graduate
Single,6,Management,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Male,No,23,no,0,5,14.0,0,5,13.8,Enrolled
Single,2,Informatics Engineering,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,yes,Yes,Male,No,18,no,0,5,10.0,0,5,0.0,Enrolled
Single,1,Nursing,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Male,No,24,no,0,7,0.0,0,7,0.0,Dropout
Single,2,Journalism and Communication,Daytime,high school,Brazilian,Other Professional Course,High School,no educational special needs,no,No,Female,No,21,yes,0,6,14.0,0,6,13.5,Graduate
Single,1,Equiniculture,Daytime,high school,Brazilian,High School,High School,no educational special needs,no,Yes,Female,No,26,yes,0,6,12.0,0,6,0.0,Dropout
Married,1,Basic Education,Daytime,did not complete high school,Portuguese,Other Professional Course,Unknown,no educational special needs,no,Yes,Female,No,39,no,0,6,12.666666666666666,0,6,0.0,Dropout
Married,1,Social Service,Evening,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,44,no,2,8,11.875,0,6,12.333333333333334,Graduate
Single,1,Informatics Engineering,Daytime,high school,Santomean,Other Professional Course,Degree,no educational special needs,no,Yes,Male,No,19,yes,0,5,14.0,0,5,13.25,Enrolled
Single,5,Journalism and Communication,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,18,no,0,6,13.666666666666666,0,6,13.333333333333334,Graduate
Single,5,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,7,13.75,0,8,14.47777777777778,Graduate
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,High School,Degree,no educational special needs,no,Yes,Female,No,19,no,0,5,14.2,0,5,13.8,Enrolled
Single,4,Nursing,Daytime,high school,Portuguese,Degree,Degree,no educational special needs,yes,No,Female,No,19,no,0,7,11.96,0,7,0.0,Dropout
Single,1,Veterinary Nursing,Daytime,other professional course,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,21,no,7,10,12.875,4,9,13.4,Dropout
Single,4,Animation and Multimedia Design,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Female,No,20,no,0,0,0.0,0,0,0.0,Graduate
Married,1,Social Service,Evening,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,36,no,0,6,0.0,0,6,0.0,Dropout
Divorced,1,Agronomy,Daytime,did not complete high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,43,no,13,18,14.63157894736842,10,13,14.23076923076923,Graduate
Single,1,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,6,0.0,0,6,0.0,Dropout
Single,1,Communication Design,Daytime,high school,Portuguese,Degree,High School,no educational special needs,yes,Yes,Female,No,20,no,4,10,13.0,5,11,12.272727272727272,Graduate
Single,2,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,6,0.0,0,6,0.0,Dropout
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Female,No,20,no,0,6,14.2,0,6,13.25,Dropout
Single,5,Nursing,Daytime,high school,Portuguese,Degree,Master,no educational special needs,no,Yes,Female,No,20,no,2,7,13.266666666666666,0,7,12.3,Dropout
Single,2,Basic Education,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,20,no,0,7,11.666666666666666,0,7,13.0,Enrolled
Single,1,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,6,13.857142857142858,0,6,15.0,Graduate
Single,2,Management,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,5,13.0,0,5,11.0,Enrolled
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,5,13.4,0,5,12.8,Graduate
Single,3,Journalism and Communication,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,6,12.666666666666666,0,6,12.571428571428571,Graduate
Single,2,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,7,12.516666666666666,0,7,12.516666666666666,Dropout
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,0,7,11.616666666666667,0,7,13.0,Enrolled
Single,1,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,20,no,0,6,10.0,0,6,10.75,Enrolled
Single,1,Management,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,20,no,0,5,10.333333333333334,0,5,10.666666666666666,Enrolled
Single,2,Veterinary Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,5,13.142857142857142,0,5,11.4,Graduate
Single,1,Management,Daytime,high school,Portuguese,Degree,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,5,12.6,0,5,14.0,Graduate
Single,1,Tourism,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Female,No,21,no,0,6,11.0,0,6,11.0,Dropout
Single,2,Management,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,5,10.8,0,5,11.25,Graduate
Single,1,Animation and Multimedia Design,Daytime,high school,Portuguese,Degree,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,0,0.0,0,0,0.0,Dropout
Single,1,Advertising and Marketing Management,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,19,no,0,5,12.8,0,5,14.2,Graduate
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,6,14.166666666666666,0,6,12.2,Graduate
Single,6,Oral Hygiene,Daytime,high school,Portuguese,High School,High School,no educational special needs,no,Yes,Female,No,19,no,0,7,12.1,0,7,0.0,Dropout
Single,1,Veterinary Nursing,Daytime,other professional course,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,1,6,14.166666666666666,1,6,13.77777777777778,Graduate
Single,1,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,6,12.8,0,6,13.4,Enrolled
Single,3,Social Service,Daytime,high school,Portuguese,High School,Other Professional Course,no educational special needs,no,Yes,Female,No,18,no,0,6,13.0,0,6,13.666666666666666,Graduate
Single,6,Nursing,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,7,13.467142857142855,0,8,15.011111111111113,Graduate
Single,3,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,Yes,18,no,0,7,13.2375,0,8,13.742857142857144,Dropout
Single,2,Communication Design,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,6,12.333333333333334,0,6,13.0,Graduate
Single,4,Management,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,5,12.4,0,5,14.6,Graduate
Single,6,Nursing,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,7,14.0,0,7,0.0,Dropout
Single,1,Social Service,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,5,9,11.666666666666666,2,7,11.714285714285714,Graduate
Single,1,Advertising and Marketing Management,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,yes,No,Female,Yes,19,no,0,6,12.0,0,6,12.5,Dropout
Single,1,Advertising and Marketing Management,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,No,20,no,0,5,12.2,0,5,11.5,Graduate
Single,1,Journalism and Communication,Daytime,high school,Portuguese,High School,High School,no educational special needs,yes,Yes,Female,Yes,18,no,0,6,14.833333333333334,0,6,14.833333333333334,Graduate
Single,2,Nursing,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,Yes,20,no,0,7,13.188,0,8,12.892857142857142,Enrolled
Single,1,Nursing,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,18,no,0,7,17.125,0,8,17.5875,Graduate
Single,5,Nursing,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,7,12.666666666666666,0,7,12.666666666666666,Graduate
Single,6,Journalism and Communication,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,Yes,19,no,0,6,12.666666666666666,0,6,12.0,Graduate
Single,1,Management,Daytime,high school,Portuguese,Degree,High School,no educational special needs,yes,No,Female,No,22,no,0,5,0.0,0,5,0.0,Enrolled
Single,3,Social Service,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,Yes,19,no,0,6,11.333333333333334,0,6,11.5,Graduate
Single,3,Nursing,Daytime,high school,Portuguese,Other Professional Course,Completed Middle School,no educational special needs,no,Yes,Female,Yes,19,no,0,7,13.605,0,8,12.33125,Graduate
Single,5,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,19,no,0,6,12.0,0,6,10.8,Graduate
Single,4,Tourism,Daytime,high school,Portuguese,Completed Middle School,Completed Middle School,no educational special needs,no,Yes,Female,No,19,no,0,5,0.0,0,5,0.0,Dropout
Single,1,Tourism,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,No,20,no,0,6,11.2,0,6,11.666666666666666,Dropout
Single,1,Management,Daytime,high school,Portuguese,Degree,Completed Middle School,no educational special needs,no,Yes,Female,No,18,no,0,5,13.375,0,5,14.166666666666666,Graduate
Single,1,Nursing,Daytime,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,Yes,20,no,0,7,13.863333333333337,0,8,14.178571428571429,Graduate
Single,1,Animation and Multimedia Design,Daytime,high school,Portuguese,Degree,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,0,0.0,0,0,0.0,Enrolled
Single,1,Veterinary Nursing,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,5,12.4,0,5,13.4,Graduate
Single,1,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,6,12.333333333333334,0,6,10.833333333333334,Enrolled
Single,1,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,18,no,0,6,13.333333333333334,0,6,11.8,Graduate
Single,1,Basic Education,Daytime,high school,Portuguese,Degree,Some Schooling,no educational special needs,no,Yes,Female,No,21,no,0,6,12.666666666666666,0,6,10.0,Dropout
Single,1,Basic Education,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,No,19,no,0,6,12.0,0,6,11.5,Dropout
Single,1,Management,Daytime,high school,Portuguese,Other Professional Course,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,5,10.6,0,5,11.8,Graduate
Single,2,Social Service,Daytime,high school,Portuguese,High School,Some Schooling,no educational special needs,no,Yes,Female,Yes,18,no,0,6,12.25,0,6,11.857142857142858,Graduate
Single,3,Social Service,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,20,no,0,6,11.0,0,6,11.833333333333334,Graduate
Single,1,Social Service,Evening,high school,Portuguese,High School,Completed Middle School,no educational special needs,no,Yes,Female,Yes,24,no,0,6,11.0,0,6,12.6,Graduate
Single,1,Advertising and Marketing Management,Daytime,high school,Portuguese,Other Professional Course,High School,no educational special needs,no,Yes,Female,No,19,no,0,6,13.166666666666666,0,6,13.0,Dropout
